"file","caption","category","png_time"
"C:/Users/Meg Oshima/Desktop/MSE/MSE/Environ_index_runs/Age_sel_tests/one_plus/plots//bio1_sizeatage.png","Length at age in the beginning of the year (or season) in the ending year of the model. Shaded area indicates 95% distribution of length at age around estimated growth curve.","Bio",2019-05-31 12:31:27
"C:/Users/Meg Oshima/Desktop/MSE/MSE/Environ_index_runs/Age_sel_tests/one_plus/plots//bio2_sizeatage_plus_CV_and_SD.png","Length at age (top-left panel) with CV (thick line) and SD (thin line) of length at age shown in top-right and lower-left panels","Bio",2019-05-31 12:31:27
"C:/Users/Meg Oshima/Desktop/MSE/MSE/Environ_index_runs/Age_sel_tests/one_plus/plots//bio3_sizeatage_plus_WT_and_MAT.png","Length at age (top-left panel) with weight (thick line) and maturity (thin line) shown in top-right and lower-left panels","Bio",2019-05-31 12:31:27
"C:/Users/Meg Oshima/Desktop/MSE/MSE/Environ_index_runs/Age_sel_tests/one_plus/plots//bio4_weightatsize.png","Weight-length relationship","Bio",2019-05-31 12:31:27
"C:/Users/Meg Oshima/Desktop/MSE/MSE/Environ_index_runs/Age_sel_tests/one_plus/plots//bio5_maturity.png","Maturity at length","Bio",2019-05-31 12:31:27
"C:/Users/Meg Oshima/Desktop/MSE/MSE/Environ_index_runs/Age_sel_tests/one_plus/plots//bio9_spawningoutput.png","Spawning output at length","Bio",2019-05-31 12:31:27
"C:/Users/Meg Oshima/Desktop/MSE/MSE/Environ_index_runs/Age_sel_tests/one_plus/plots/sel01_multiple_fleets_length1.png","Selectivity at length for multiple fleets.","Sel",2019-05-31 12:31:27
"C:/Users/Meg Oshima/Desktop/MSE/MSE/Environ_index_runs/Age_sel_tests/one_plus/plots/sel02_multiple_fleets_age1.png","Selectivity at age for multiple fleets.","Sel",2019-05-31 12:31:27
"C:/Users/Meg Oshima/Desktop/MSE/MSE/Environ_index_runs/Age_sel_tests/one_plus/plots/sel02_multiple_fleets_age2.png","Selectivity at age derived from selectivity at length for multiple fleets.","Sel",2019-05-31 12:31:27
"C:/Users/Meg Oshima/Desktop/MSE/MSE/Environ_index_runs/Age_sel_tests/one_plus/plots/sel09_len_flt11sex1.png","Ending year selectivity for VIDEO","Sel",2019-05-31 12:31:27
"C:/Users/Meg Oshima/Desktop/MSE/MSE/Environ_index_runs/Age_sel_tests/one_plus/plots/sel09_len_flt12sex1.png","Ending year selectivity for SEAMAP","Sel",2019-05-31 12:31:27
"C:/Users/Meg Oshima/Desktop/MSE/MSE/Environ_index_runs/Age_sel_tests/one_plus/plots/sel11_timevary_surf_flt1sex1.png","Time-varying selectivity for CM_E","Sel",2019-05-31 12:31:27
"C:/Users/Meg Oshima/Desktop/MSE/MSE/Environ_index_runs/Age_sel_tests/one_plus/plots/sel12_timevary_contour_flt1sex1.png","Time-varying selectivity for CM_E","Sel",2019-05-31 12:31:27
"C:/Users/Meg Oshima/Desktop/MSE/MSE/Environ_index_runs/Age_sel_tests/one_plus/plots/sel13_age_flt1sex1.png","Ending year selectivity for CM_E","Sel",2019-05-31 12:31:27
"C:/Users/Meg Oshima/Desktop/MSE/MSE/Environ_index_runs/Age_sel_tests/one_plus/plots/sel11_timevary_surf_flt2sex1.png","Time-varying selectivity for CM_W","Sel",2019-05-31 12:31:27
"C:/Users/Meg Oshima/Desktop/MSE/MSE/Environ_index_runs/Age_sel_tests/one_plus/plots/sel12_timevary_contour_flt2sex1.png","Time-varying selectivity for CM_W","Sel",2019-05-31 12:31:27
"C:/Users/Meg Oshima/Desktop/MSE/MSE/Environ_index_runs/Age_sel_tests/one_plus/plots/sel13_age_flt2sex1.png","Ending year selectivity for CM_W","Sel",2019-05-31 12:31:27
